Sentence,Result,Polarity,Subjective
Donald Trump could be the first former president to face prosecution,Positive,0.125,0.16666666666666666
Donald Trump has executed more Americans than all states combined report finds,Positive,0.5,0.5
BradburySlocum JesseKellyDC I support President Trump for as Many Terms as he wants to run for We need a take ba,Positive,0.35,0.3
RT marceelias WATCH As I told JoyAnnReid Donald Trump has no legal avenue He doesnt even have a culdesac All were doing right n,Positive,0.09285714285714285,0.3678571428571429
RT FrankAmari2 FranklinGraham Kindly see,Positive,0.6,0.9
RT RoshanRinaldi Donald Trump is the first President since Herbert Hoover to preside over a net LOSS of American jobsYet his dimwitt,Positive,0.08333333333333333,0.1111111111111111
RT invispoti0n heres a reminder that donald trump subtweeted quacktwt once and thats a real thing that actually happened,Positive,0.1,0.2
RT RoshanRinaldi Donald Trump is the first President since Herbert Hoover to preside over a net LOSS of American jobsYet his dimwitt,Positive,0.08333333333333333,0.1111111111111111
RT AlexMohajer The poetic justice of seeing HillaryClinton the 2016 popular vote winner who was denied her presidency in the electoral,Positive,0.4875,0.825
So have Donald Trump Mr Rogers and my parents Write better and most of the time you wont need an Oxford comm,Positive,0.5,0.5
RT JackPosobiec Trump asking about special prosecutor for Hunter Biden,Positive,0.35714285714285715,0.5714285714285714
RT RWPUSA Justice demands a special prosecutor for crimes committed by realDonaldTrumpSee eg Mueller Report Part II,Positive,0.35714285714285715,0.5714285714285714
RT RexChapman Good night Donald J Trump,Positive,0.7,0.6000000000000001
CBSNews All I see in the comments is cheater speak dis functions and etc yet Joe Biden has offered more emotio,Positive,0.5,0.5
RT APPolitics BREAKING Top Senate Republican Mitch McConnell acknowledges Joe Biden is presidentelect says the Electoral College has,Positive,0.5,0.5
Can Don the Con match Grover the Good via USATODAY,Positive,0.7,0.6000000000000001
There is a beautiful saying in Kiswahili that Donald Trump needs to hear Asiyekubali kushindwa Si mshindani on,Positive,0.85,1.0
RT RoshanRinaldi Donald Trump is the first President since Herbert Hoover to preside over a net LOSS of American jobsYet his dimwitt,Positive,0.08333333333333333,0.1111111111111111
So disillusioned with the the US political situation Cannot believe 70M people voted for Donald Trump Many are hi,Positive,0.25,0.3
RT RexChapman Good night Donald J Trump,Positive,0.7,0.6000000000000001
RT Redistrict Fact in 2016 Hillary Clinton won the popular vote by 29 million and came within 77744 votes of winning the presidency,Positive,0.55,0.825
RT girlsreallyrule Over 300000 people have died largely in part to your ignorance and to endorse a person like Donald Trump goes again,Positive,0.21428571428571427,0.42857142857142855
YOUR A PEDIPHILE ENABLER WHAT TRUE CHRISTIAN WOULD EVER ENDORSE A SCUMBAG LIKE DONALD TRUMP NOT EVEN THE POPE WAN,Positive,0.04999999999999999,0.26666666666666666
Freedom of the press is a Constitutional right No government should touch journalists not otherwise violating the,Positive,0.2857142857142857,0.5357142857142857
realDonaldTrump Donald Trump it will do much good if you follow up with constant press briefsand if you ask m,Positive,0.35,0.4666666666666667
Respect Americans Decision Joe Biden Tells Donald Trump After Victory Confirmed via howafrica,Positive,0.4,1.0
RT invispoti0n heres a reminder that donald trump subtweeted quacktwt once and thats a real thing that actually happened,Positive,0.1,0.2
RT Redistrict Fact in 2016 Hillary Clinton won the popular vote by 29 million and came within 77744 votes of winning the presidency,Positive,0.55,0.825
RT FinancialTimes When Joe Biden is sworn in as president on January 20 he will be forced to tackle an issue that may define his preside,Negative,-0.30000000000000004,0.2
i have bad news Bernie Sanders cannot be Donald Trumps baba,Negative,-0.6999999999999998,0.6666666666666666
Donald Trump quita el mantenimiento de la base de Rota a una firma espaola y se lo da a EEUU,Negative,-0.8,1.0
RT nickreeves9876 Tory activists in Northamptonshire have been urged to campaign likeDonald Trumpby weaponising fake news and talking,Negative,-0.5,1.0
RT kurteichenwald America is under cyberattack by Russia Donald Trump has failed to attend an intelligence briefing since October 2,Negative,-0.5,0.3
Donald Trump still not ready to throw in the towel via afrinik,Negative,-0.1,0.5
RT waltshaub Donald Trump will keep denying the election results for as long as he thinks theres money to be made off the suckers who be,Negative,-0.175,0.6000000000000001
RT middleageriot Waiting for Donald Trump to concede is like waiting for a toilet to unclog itself,Negative,-0.03333333333333333,0.0
RT pastorlocke Let me be clear IT IS NOT OVER THE MEDIA IS CORRUPT DONALD TRUMP WON AND HE WILL REMAIN THE PRESIDENT,Negative,-0.19999999999999998,0.6916666666666667
VenturaReport X22Report Soon Donald Trump will issue assistance to all those have lost their small businesses an,Negative,-0.25,0.4
After The Election Everything Is Still Falling Apart Donald Trumps victory four years ago was unimaginable to m,Neutral,0.0,0.0
Cher Donald Trump,Neutral,0.0,0.0
RT wesrap All of the 38 electoral college votes for Texas go to Donald Trump txlege,Neutral,0.0,0.0
RT HANKSTERevolt Michigans Matt Sealy Explains How President Trump Has SEVERAL Paths To VictoryNever count Donald Trump out VIDEO,Neutral,0.0,0.0
RT chrisherstam Republics editorial page editor Phil Boas has lost touch with reality Everything is peachy,Neutral,0.0,0.0
was fr ein arschlochMehrheitsfhrer im USSenat Trump kritisiert McConnell fr Gratulation an Biden,Neutral,0.0,0.0
RT RTrumpty DavidJHarrisJr realDonaldTrump BreitbartNews I am so thankful for Donald Trump too He has taught me an invaluable lesson,Neutral,0.0,0.0
We from Germany for Peace and Freedom stand for elected President Donald Trump of the people as 70 mill Americ,Neutral,0.0,0.0
RT brunolp30 Lvangliste le rvrend Franklin Graham a dclar lundi quil tait reconnaissant pour les quatre dernires annes et to,Neutral,0.0,0.0
Bob Woodward Los historiadores hablarn de Donald Trump durante cien aos,Neutral,0.0,0.0
RT mikandynothem There was one person who said there would be vaccines rolled out before end of yearHis name is President Donald J Tr,Neutral,0.0,0.0
